iter	RMSE
0	0.8234428458
1	0.8072717308
2	0.794983144
3	0.781137598
4	0.765924243
5	0.7567304698
6	0.752141956
7	0.7455622347
8	0.7421201055
9	0.7340639301
10	0.7296185523
11	0.721273679
12	0.7210243097
13	0.7174900933
14	0.7149740659
15	0.7124657849
16	0.7096592524
17	0.7042985983
18	0.7016311784
19	0.6966977155
20	0.6924110427
21	0.6894259677
22	0.6872518845
23	0.6830892829
24	0.6798559016
25	0.6761889505
26	0.669649549
27	0.6687715971
28	0.66422952
29	0.6623374305
30	0.66001888
31	0.6594603472
32	0.6539644626
33	0.653174989
34	0.6515180568
35	0.6490695387
36	0.6459556196
37	0.6429131385
38	0.6359701534
39	0.6336541764
40	0.6324994561
41	0.6307450599
42	0.6258603537
43	0.6244191396
44	0.6220342043
45	0.6199006441
46	0.6166615422
47	0.6151116308
48	0.6140253417
49	0.6136835452
50	0.6127584376
51	0.6121469386
52	0.6108963455
53	0.6097932075
54	0.6094924977
55	0.606098337
56	0.6050174557
57	0.6035978578
58	0.6011450117
59	0.5985094431
60	0.5973891972
61	0.5942725838
62	0.5894303557
63	0.5879930412
64	0.5874504613
65	0.5870933407
66	0.585874986
67	0.5836273423
68	0.5818593273
69	0.5808307825
70	0.5802522599
71	0.5790465503
72	0.5778393597
73	0.5777436646
74	0.5754049563
75	0.5746500959
76	0.5715206811
77	0.5706950323
78	0.5701294349
79	0.5697710645
80	0.5692347888
81	0.5678263692
82	0.5672351076
83	0.5655107305
84	0.5632528763
85	0.5631540548
86	0.5629001812
87	0.5628450717
88	0.5623863004
89	0.5610422624
90	0.5604075827
91	0.5569556415
92	0.5568798888
93	0.555020322
94	0.5535661788
95	0.5530566366
96	0.5520643903
97	0.5500827845
98	0.5497202333
99	0.549002542
