iter	Passed	Remaining
0	1	102
1	1	97
2	2	94
3	3	92
4	4	90
5	5	88
6	6	87
7	7	87
8	8	86
9	9	84
10	10	81
11	10	79
12	11	78
13	12	76
14	13	76
15	13	72
16	14	71
17	15	71
18	16	71
19	17	70
20	18	70
21	19	68
22	20	68
23	21	68
24	22	68
25	23	67
26	24	66
27	25	65
28	25	63
29	26	62
30	27	62
31	28	61
32	29	60
33	30	60
34	31	59
35	33	58
36	34	58
37	35	57
38	36	56
39	37	55
40	38	54
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	44	49
47	45	49
48	46	48
49	47	47
50	47	46
51	48	45
52	49	44
53	50	43
54	51	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	33
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	85	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	91	2
97	92	1
98	93	0
99	94	0
